2016-01-25 12:56:59,375 : INFO : categ=Yelp, ftype=TFIDF, index=5, rmse=0.1120062419, corr=0.2586065384, pval=0.0000000000, mse=0.0125453982, mae=0.0841918650, likelihood=-12.7390723022, basehood=-12.3181568640
2016-01-25 12:57:13,240 : INFO : categ=Yelp, ftype=LIWC, index=5, rmse=0.1085430631, corr=0.2268222015, pval=0.0000000000, mse=0.0117815965, mae=0.0806871662, likelihood=-12.7088224240, basehood=-12.3181568640
2016-01-25 12:57:41,290 : INFO : categ=Yelp, ftype=INQUIRER, index=5, rmse=0.1088378312, corr=0.2239986940, pval=0.0000000000, mse=0.0118456735, mae=0.0808789366, likelihood=-12.7103983131, basehood=-12.3181568640
2016-01-25 12:57:53,050 : INFO : categ=Yelp, ftype=GALC, index=5, rmse=0.1110282330, corr=0.1068625307, pval=0.0000000000, mse=0.0123272685, mae=0.0820272849, likelihood=-12.7267174558, basehood=-12.3181568640
2016-01-25 12:57:54,012 : INFO : categ=Yelp, ftype=ConfAll, index=5, rmse=0.1099527842, corr=0.1851776472, pval=0.0000000000, mse=0.0120896148, mae=0.0816285910, likelihood=-12.7187134520, basehood=-12.3181568640
2016-01-25 12:58:04,975 : INFO : categ=Yelp, ftype=STR, index=6, rmse=0.1080840318, corr=0.0864828439, pval=0.0000000000, mse=0.0116821579, mae=0.0813798531, likelihood=-12.6071656893, basehood=-12.2170931646
2016-01-25 12:58:19,068 : INFO : categ=Yelp, ftype=TOPICS_64, index=6, rmse=0.1050225272, corr=0.2348609330, pval=0.0000000000, mse=0.0110297312, mae=0.0790656379, likelihood=-12.5819661961, basehood=-12.2170931646
2016-01-25 13:00:33,282 : INFO : categ=Yelp, ftype=TFIDF, index=6, rmse=0.1088439434, corr=0.2896599075, pval=0.0000000000, mse=0.0118470040, mae=0.0831623747, likelihood=-12.6171404894, basehood=-12.2170931646
2016-01-25 13:00:47,449 : INFO : categ=Yelp, ftype=LIWC, index=6, rmse=0.1052536921, corr=0.2285359318, pval=0.0000000000, mse=0.0110783397, mae=0.0795290239, likelihood=-12.5849867758, basehood=-12.2170931646
2016-01-25 13:01:15,640 : INFO : categ=Yelp, ftype=INQUIRER, index=6, rmse=0.1053596136, corr=0.2400946203, pval=0.0000000000, mse=0.0111006482, mae=0.0793634479, likelihood=-12.5865505379, basehood=-12.2170931646
2016-01-25 13:01:27,664 : INFO : categ=Yelp, ftype=GALC, index=6, rmse=0.1078315613, corr=0.0952432081, pval=0.0000000000, mse=0.0116276456, mae=0.0810213259, likelihood=-12.6050510021, basehood=-12.2170931646
2016-01-25 13:01:28,617 : INFO : categ=Yelp, ftype=ConfAll, index=6, rmse=0.1065194482, corr=0.1925510058, pval=0.0000000000, mse=0.0113463929, mae=0.0803247689, likelihood=-12.5953928468, basehood=-12.2170931646
2016-01-25 13:01:39,905 : INFO : categ=Yelp, ftype=STR, index=7, rmse=0.1087782309, corr=0.1004835034, pval=0.0000000000, mse=0.0118327035, mae=0.0822245234, likelihood=-12.5589955313, basehood=-12.1617009018
2016-01-25 13:01:54,137 : INFO : categ=Yelp, ftype=TOPICS_64, index=7, rmse=0.1061958394, corr=0.2304161633, pval=0.0000000000, mse=0.0112775563, mae=0.0800744011, likelihood=-12.5374554358, basehood=-12.1617009018
2016-01-25 13:04:09,479 : INFO : categ=Yelp, ftype=TFIDF, index=7, rmse=0.1097822813, corr=0.2706453824, pval=0.0000000000, mse=0.0120521493, mae=0.0838854602, likelihood=-12.5696043752, basehood=-12.1617009018
2016-01-25 13:04:23,737 : INFO : categ=Yelp, ftype=LIWC, index=7, rmse=0.1064250816, corr=0.2204329292, pval=0.0000000000, mse=0.0113262980, mae=0.0803230243, likelihood=-12.5401162249, basehood=-12.1617009018
2016-01-25 13:04:52,197 : INFO : categ=Yelp, ftype=INQUIRER, index=7, rmse=0.1064071396, corr=0.2324960244, pval=0.0000000000, mse=0.0113224794, mae=0.0803329453, likelihood=-12.5404655327, basehood=-12.1617009018
2016-01-25 13:05:04,432 : INFO : categ=Yelp, ftype=GALC, index=7, rmse=0.1087697989, corr=0.1021457565, pval=0.0000000000, mse=0.0118308691, mae=0.0819839661, likelihood=-12.5592552894, basehood=-12.1617009018
