2016-01-20 10:02:03,158 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=9, rmse=0.2371657449, rho=0.3292860537, pval=0.0000000000, mse=0.0562475906, mae=0.1534077940
2016-01-20 10:04:12,939 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=10, rmse=0.2396938696, rho=0.3420344021, pval=0.0000000000, mse=0.0574531511, mae=0.1545764078
2016-01-20 10:06:22,639 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=11, rmse=0.2380520902, rho=0.3333636383, pval=0.0000000000, mse=0.0566687977, mae=0.1556235943
2016-01-20 10:08:30,476 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=12, rmse=0.2385202947, rho=0.3115111459, pval=0.0000000000, mse=0.0568919310, mae=0.1544005282
2016-01-20 10:10:30,995 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=13, rmse=0.2338493879, rho=0.3242162290, pval=0.0000000000, mse=0.0546855362, mae=0.1528631133
2016-01-20 10:12:31,035 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=14, rmse=0.2401060087, rho=0.3240605991, pval=0.0000000000, mse=0.0576508954, mae=0.1553362167
2016-01-20 10:14:31,978 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=15, rmse=0.2343341201, rho=0.3194709722, pval=0.0000000000, mse=0.0549124798, mae=0.1511839880
2016-01-20 10:16:33,268 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=16, rmse=0.2338881576, rho=0.3446455486, pval=0.0000000000, mse=0.0547036703, mae=0.1519349699
2016-01-20 10:18:33,510 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=17, rmse=0.2313194708, rho=0.3084306651, pval=0.0000000000, mse=0.0535086976, mae=0.1509090044
2016-01-20 10:20:33,917 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=18, rmse=0.2370799138, rho=0.3199631719, pval=0.0000000000, mse=0.0562068855, mae=0.1532791654
2016-01-20 10:22:35,191 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=19, rmse=0.2359437422, rho=0.3287704937, pval=0.0000000000, mse=0.0556694495, mae=0.1512190189
2016-01-20 10:24:35,771 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=20, rmse=0.2439099225, rho=0.3164851090, pval=0.0000000000, mse=0.0594920503, mae=0.1573939784
2016-01-20 10:26:37,140 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=21, rmse=0.2320077845, rho=0.3236533690, pval=0.0000000000, mse=0.0538276121, mae=0.1506696503
2016-01-20 10:28:38,887 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=22, rmse=0.2326065934, rho=0.3167174706, pval=0.0000000000, mse=0.0541058273, mae=0.1508008529
2016-01-20 10:30:39,271 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=23, rmse=0.2343431477, rho=0.2891720223, pval=0.0000000000, mse=0.0549167109, mae=0.1527217354
